"issn" "SJR" "PMID"
"10974172" 26.494 "32991841"
"10974172" 26.494 "37001506"
"10974172" 26.494 "35120663"
"10974172" 26.494 "33743211"
"15461718" 16.732 "35710981"
"15461718" 16.732 "37012455"
"15461718" 16.732 "32989324"
"15461718" 16.732 "32989326"
"15487105" 14.358 "36344834"
"18783686" 12.578 "35623341"
"24709468" 11.191 "35658015"
"24709468" 11.191 "36490328"
"24709468" 11.191 "35213211"
"15292916" 10.921 "32807943"
"15292916" 10.921 "35624211"
"15292916" 10.921 "34017121"
"26621347" 9.817 "36550235"
"14764598" 8.703 "32843065"
"14764598" 8.703 "35279152"
"14764598" 8.703 "36670412"
"13624962" 8.234 "33035346"
"13624962" 8.234 "36631985"
"13624962" 8.234 "35323972"
"13624962" 8.234 "35234924"
"13624962" 8.234 "36124662"
"13624962" 8.234 "35100428"
"13624962" 8.234 "36029115"
"13624962" 8.234 "36440760"
"13624962" 8.234 "34037798"
"13624962" 8.234 "35390159"
"13624962" 8.234 "36373634"
"13624962" 8.234 "34125917"
"13624962" 8.234 "32997144"
"13624962" 8.234 "36629268"
"13624962" 8.234 "34850140"
"13624962" 8.234 "36454018"
"13624962" 8.234 "36477312"
"13624962" 8.234 "34019640"
"13624962" 8.234 "34023904"
"13624962" 8.234 "36864760"
"13624962" 8.234 "35670661"
"13624962" 8.234 "35325185"
"17554349" 8.14 "36864143"
"15244539" 7.8 "37013819"
"15244539" 7.8 "32885664"
"21598290" 7.268 "36259947"
"21598290" 7.268 "35262173"
"25225812" 7.045 "35999469"
"25225812" 7.045 "37037945"
"25225812" 7.045 "35228746"
"25225812" 7.045 "34417591"
"19466242" 6.361 "36197962"
"19466242" 6.361 "33762433"
"19466242" 6.361 "35613280"
"15409538" 6.237 "34854884"
"15409538" 6.237 "33857288"
"15409538" 6.237 "37115584"
"15409538" 6.237 "35029648"
"15409538" 6.237 "35238865"
"15409538" 6.237 "36749798"
"15409538" 6.237 "35420633"
"17444292" 6.22 "32744794"
"17568722" 6.046 "35659036"
"26663791" 5.841 "37075704"
"15213773" 5.573 "36524454"
"14602075" 5.484 "35466425"
"14602075" 5.484 "32954504"
"14602075" 5.484 "36398858"
"14602075" 5.484 "32946121"
"14602075" 5.484 "32985705"
"14602075" 5.484 "32954517"
"14602075" 5.484 "33034061"
"18781551" 5.385 "33735618"
"18781551" 5.385 "33891899"
"18781551" 5.385 "36905926"
"18781551" 5.385 "32857951"
"18781551" 5.385 "36868234"
"18781551" 5.385 "34004152"
"17501326" 5.158 "36056435"
"15588238" 5.117 "33822765"
"15588238" 5.117 "33905372"
"15588238" 5.117 "33938445"
"15588238" 5.117 "36074606"
"15588238" 5.117 "35472067"
"15588238" 5.117 "35579943"
"15588238" 5.117 "33792563"
"15588238" 5.117 "33724957"
"15588238" 5.117 "32663196"
"15588238" 5.117 "32673291"
"15588238" 5.117 "33998599"
"20411723" 5.116 "36316343"
"20411723" 5.116 "36418319"
"20411723" 5.116 "36658155"
"20411723" 5.116 "36513677"
"20411723" 5.116 "36253375"
"20411723" 5.116 "36808153"
"20411723" 5.116 "34862370"
"20411723" 5.116 "36650144"
"20411723" 5.116 "32703943"
"20411723" 5.116 "33976125"
"20411723" 5.116 "36316347"
"20411723" 5.116 "34075040"
"20411723" 5.116 "34001900"
"20411723" 5.116 "36639706"
"20411723" 5.116 "33037222"
"20411723" 5.116 "36198703"
"20411723" 5.116 "36418293"
"20411723" 5.116 "33963192"
"20411723" 5.116 "36229455"
"20411723" 5.116 "34140506"
"20411723" 5.116 "35082301"
"20411723" 5.116 "34145295"
"20411723" 5.116 "32934238"
"20411723" 5.116 "35058437"
"20411723" 5.116 "36433953"
"20411723" 5.116 "36245034"
"20411723" 5.116 "36376321"
"20411723" 5.116 "35624100"
"20411723" 5.116 "35523793"
"20411723" 5.116 "36309495"
"20411723" 5.116 "32814767"
"20411723" 5.116 "32908143"
"20411723" 5.116 "35273186"
"20411723" 5.116 "33931647"
"20411723" 5.116 "33772001"
"20411723" 5.116 "36522318"
"20411723" 5.116 "33004791"
"20411723" 5.116 "33850120"
"20411723" 5.116 "33953205"
"20411723" 5.116 "32732898"
"20411723" 5.116 "33947848"
"20411723" 5.116 "34404785"
"20411723" 5.116 "32826896"
"20411723" 5.116 "35440542"
"20411723" 5.116 "34031380"
"20411723" 5.116 "35140242"
"20411723" 5.116 "32732875"
"20411723" 5.116 "35618699"
"20411723" 5.116 "35440545"
"20411723" 5.116 "33712610"
"20411723" 5.116 "35650206"
"20411723" 5.116 "35413957"
"20411723" 5.116 "35145080"
"20411723" 5.116 "35987910"
"20411723" 5.116 "32895370"
"20411723" 5.116 "33782403"
"20411723" 5.116 "36071032"
"20411723" 5.116 "34404786"
"20411723" 5.116 "35817779"
"20411723" 5.116 "35948564"
"20411723" 5.116 "36828809"
